file_name,file_type,sequence_id,timestamp,GPS_time(s),east,north,altitude,attitude(x)=roll,attitude(y)=pitch,attitude(z)=pan,frame_id
E:/forProcess/2018-08-14_09-43-14/ladybug_panoramic_000000.jpg,JPG,0,36196205491,1218260701.61031294,235251.556152943929,2708690.69141430315,-27.4774018889293075,-179.714060913350465,-0.632816444597889438,-44.3324959803349614,2703
E:/forProcess/2018-08-14_09-43-14/ladybug_panoramic_000001.jpg,JPG,1,36297054996,1218260702.61880875,235256.210943870363,2708685.46461406909,-27.4875545799732208,-179.693508379244236,-0.957993743509101936,-41.3946038356114272,2704
E:/forProcess/2018-08-14_09-43-14/ladybug_panoramic_000002.jpg,JPG,2,36381391294,1218260703.46217251,235260.715763974178,2708679.84012451395,-27.4756719414144754,-179.527378671280474,0.201255145979228611,-37.7229067027989728,2705
E:/forProcess/2018-08-14_09-43-14/ladybug_panoramic_000003.jpg,JPG,3,36468220144,1218260704.33046174,235264.784404137579,2708673.93597139744,-27.4919890388846397,-179.394132472525911,-0.433909928244274601,-32.2905780006325642,2706
E:/forProcess/2018-08-14_09-43-14/ladybug_panoramic_000004.jpg,JPG,4,36567556664,1218260705.32382774,235268.220345280017,2708667.55174695887,-27.4413091884925961,-179.481731057470824,-0.0341976392768393936,-25.676461204637004,2707
E:/forProcess/2018-08-14_09-43-14/ladybug_panoramic_000005.jpg,JPG,5,36689141544,1218260706.53967738,235271.067524565908,2708661.0791529566,-27.4091912424191833,179.391477699854107,0.177774598557859514,-30.792507941131813,2708
E:/forProcess/2018-08-14_09-43-14/ladybug_panoramic_000006.jpg,JPG,6,36833498672,1218260707.98324943,235275.220372383483,2708656.02005285118,-27.4155832650139928,178.246174288894963,0.197965074265843338,-69.1283320473669818,2709
E:/forProcess/2018-08-14_09-43-14/ladybug_panoramic_000007.jpg,JPG,7,36987039553,1218260709.51865983,235281.259583628969,2708656.03048752667,-27.4360640840604901,178.143570613647285,0.0764466068931197451,-134.081008850637147,2710
E:/forProcess/2018-08-14_09-43-14/ladybug_panoramic_000008.jpg,JPG,8,37135511459,1218260711.0033803,235283.672935360693,2708661.54572719894,-27.4458168558776379,178.626621278494724,-0.338986247774875793,165.502840321224767,2711
E:/forProcess/2018-08-14_09-43-14/ladybug_panoramic_000009.jpg,JPG,9,37258993621,1218260712.23820281,235280.704202019435,2708667.42814467149,-27.4435457605868578,179.718618893798549,-0.294452113922765324,134.779044796775651,2712
E:/forProcess/2018-08-14_09-43-14/ladybug_panoramic_000010.jpg,JPG,10,37364155588,1218260713.28982329,235275.531575590197,2708672.00752403354,-27.4517449643462896,179.886437876732572,-0.10414742896048626,123.483346684277407,2713
E:/forProcess/2018-08-14_09-43-14/ladybug_panoramic_000011.jpg,JPG,11,37455639280,1218260714.20466089,235269.66718333977,2708675.76433944376,-27.4721928341314197,179.743359167645764,-0.232158763171727817,117.307496124422386,2714
E:/forProcess/2018-08-14_09-43-14/ladybug_panoramic_000012.jpg,JPG,12,37538509346,1218260715.03336239,235263.46877872484,2708678.96002709446,-27.5012453272938728,179.603647834818247,-0.760501415219001609,113.17012780676221,2715
E:/forProcess/2018-08-14_09-43-14/ladybug_panoramic_000013.jpg,JPG,13,37615262308,1218260715.80089188,235257.005784967274,2708681.80796178011,-27.4583704341202974,179.859315861470861,-0.357862518371247273,111.124841432578151,2716
E:/forProcess/2018-08-14_09-43-14/ladybug_panoramic_000014.jpg,JPG,14,37693534375,1218260716.5836134,235250.388549592404,2708684.53986563301,-27.4216767102479935,-179.720782096768659,0.301585795437303517,111.863871356444704,2717
E:/forProcess/2018-08-14_09-43-14/ladybug_panoramic_000015.jpg,JPG,15,37782604381,1218260717.47431421,235243.870899143338,2708687.54170885542,-27.4304782887920737,-179.24438554563028,0.0249800850897641882,117.338754430273752,2718
E:/forProcess/2018-08-14_09-43-14/ladybug_panoramic_000016.jpg,JPG,16,37889714969,1218260718.54542089,235237.717700268142,2708691.54771427112,-27.4159337859600782,-178.561016170467639,-0.0220203889080536896,132.678861677652662,2719
E:/forProcess/2018-08-14_09-43-14/ladybug_panoramic_000017.jpg,JPG,17,38024991063,1218260719.89818263,235233.401676569541,2708697.73214037204,-27.4060837086290121,-178.350474140472215,0.03744543084035893,165.816692588399633,2720
E:/forProcess/2018-08-14_09-43-14/ladybug_panoramic_000018.jpg,JPG,18,38185010327,1218260721.49837685,235234.066589639231,2708705.37435310846,-27.3864312162622809,-177.950348643681366,0.333251844955135546,-144.10347621894104,2721
E:/forProcess/2018-08-14_09-43-14/ladybug_panoramic_000019.jpg,JPG,19,38355977277,1218260723.20804787,235240.671689024486,2708709.29572632117,-27.4017612906172872,-178.222882704143785,0.14321048989378124,-87.7811502632734033,2722
E:/forProcess/2018-08-14_09-43-14/ladybug_panoramic_000020.jpg,JPG,20,38536285028,1218260725.011127,235247.640162215452,2708706.09005900193,-27.4224705351516604,-178.653999779815763,0.0142886468762742844,-33.7813239704549488,2723
E:/forProcess/2018-08-14_09-43-14/ladybug_panoramic_000021.jpg,JPG,21,38751739538,1218260727.16567349,235249.268855051894,2708698.70427331794,-27.4358465895056725,-179.55470332259361,0.043827990243676021,10.4803814319083504,2724
E:/forProcess/2018-08-14_09-43-14/ladybug_panoramic_000022.jpg,JPG,22,39177689432,1218260731.42517567,235247.448683807219,2708691.8034407543,-27.4324166253209114,-179.919220481225665,0.0539442283370345707,5.29936317701912341,2725
